benchmark,kind,profile,scenario,frontend,backend,linker,borrowck,typeck,metadata
env_logger-0.11.3,lib,Check,IncrUnchanged,171165049,16634806,13829,0,52431366,30455471
env_logger-0.11.3,lib,Debug,IncrPatched0,312623532,103972523,2108177,312752,59406963,136550977
env_logger-0.11.3,lib,Check,IncrFull,748869011,104203704,15295,109563364,281155158,32714856
env_logger-0.11.3,lib,Opt,IncrFull,818193823,852380870,911158,103165628,280266750,47477687
env_logger-0.11.3,lib,Opt,Full,646690968,672033030,863665,79950683,150506855,128277993
env_logger-0.11.3,lib,Debug,IncrFull,964763447,563744641,2105804,103448636,280451215,193553287
env_logger-0.11.3,lib,Debug,Full,651400571,416136857,1212455,80038479,150183354,135117825
env_logger-0.11.3,lib,Debug,IncrUnchanged,282202705,103154046,2134369,0,52716389,134612376
fnv-1.0.7,lib,Debug,IncrFull,42624425,25568132,243050,2117256,12436951,3892148
fnv-1.0.7,lib,Check,IncrUnchanged,15002174,3668026,13061,0,2473938,2804710
fnv-1.0.7,lib,Opt,IncrPatched0,23247566,24660817,282650,285932,3010953,3316022
fnv-1.0.7,lib,Debug,IncrPatched0,23578337,24614930,267494,297178,3066267,3471001
fnv-1.0.7,lib,Opt,IncrUnchanged,15468438,3942085,234110,0,2507114,3188631
fnv-1.0.7,lib,Debug,Full,26176036,19444676,278529,1798289,6436139,2617045
fnv-1.0.7,lib,Debug,IncrUnchanged,15414590,3880345,260720,0,2495799,3200015
fnv-1.0.7,lib,Check,Full,24264464,18771400,13689,1783902,6354633,1806949
fnv-1.0.7,lib,Check,IncrPatched0,22634704,24264534,12990,299413,3011093,3038680
fnv-1.0.7,lib,Opt,IncrFull,43175757,25939272,259044,2134997,12413485,4365536
fnv-1.0.7,lib,Check,IncrFull,40416235,24869364,14597,2404516,12516013,2918902
fnv-1.0.7,lib,Opt,Full,30960134,19932452,286701,1776010,6394722,7526788
futures-0.3.30,lib,Debug,IncrUnchanged,15681316,5448015,271266,0,231945,4360577
futures-0.3.30,lib,Debug,Full,18032891,3639740,266656,0,729568,3071017
futures-0.3.30,lib,Opt,Full,17793892,4535531,261418,0,709734,2889498
futures-0.3.30,lib,Opt,IncrFull,28188878,5572892,235926,0,1125012,5024355
futures-0.3.30,lib,Debug,IncrFull,28403921,5234788,227544,0,1130111,5189880
